pincode,latitude,longitude
100000,11.562572103458649,84.63598780846202
100001,21.306785480133204,93.13016209567509
100002,24.156398637763658,86.26932956640661
100003,31.67988081837283,78.66883226877695
100004,9.108425745425526,97.4853191713801
100005,34.75263055475382,68.25939217640193
100006,8.951793563643689,97.0665015431846
100007,9.136127284989016,87.98972298575256
100008,27.45883586580447,88.58487992952834
100009,7.973702374505363,88.98387297280345
100010,33.708852524352864,88.7630072146688
100011,13.135255171044506,93.79039870184786
100012,34.31333232488693,97.0952755022375
100013,13.294206792490817,78.90415143693193
100014,13.447271590742286,74.59547656116104
100015,33.22757644229021,85.13305920242357
100016,9.542318572208774,89.50698663652177
100017,24.912704816150224,82.58327020083155
100018,8.577976846768715,82.44850250059494
100019,21.84954859535862,83.04485422404815
100020,16.75364451047468,89.29277234094054
100021,27.27172089917113,94.88172606829333
100022,21.20070846823394,85.65801724379426
100023,21.14782241178822,95.13590465211927
100024,33.4503547316693,72.63138764001499
100025,29.681497616992687,68.14590314618354
100026,10.191697107344478,91.27809424979878
100027,8.894167689567984,79.15053255085982
100028,22.79777941189937,84.98153402511987
100029,23.737784356768625,91.34668271543902
100030,23.735246853686704,87.69954948018601
100031,11.260807862865732,78.26566135636003
100032,31.066495074402436,79.2909062832895
100033,24.445421340460552,92.19532117372262
100034,6.645466228107582,93.70766538844558
100035,31.70154037947722,74.25321255199627
100036,23.41645283541029,83.73765203924494
100037,33.86582246161652,87.90358562529289
100038,26.56423116259165,84.06326732957521
100039,14.6540483001562,83.51665841312473
100040,18.826844070216048,95.05331819385123
100041,10.29421173872191,87.26679567045116
100042,32.065491499158554,70.68038199463143
100043,22.048401702983334,81.69993259595192
100044,34.312946694830046,93.21614532411724
100045,21.29030417926323,90.16573907951363
100046,29.797556165922536,91.31756901428011
100047,22.161826422749623,80.8950524494932
100048,13.505518740352068,91.99615998437432
100049,12.449945181079169,84.38944746580091
100050,27.69235945603955,94.27543016417239
100051,32.16629012083759,69.15243289026063
100052,18.01433048957852,75.68784151230459
100053,31.045094531979668,82.30538861678488
100054,21.129303360632008,85.64608493397398
100055,17.805043805275723,79.23459150643359
100056,24.64246346397401,83.51802245515213
100057,31.24451229434123,68.59707279928426
100058,24.041496630416717,90.71042509422568
100059,13.577305519284746,81.86199966954959
100060,16.737860359232776,85.93260465361789
100061,17.146596695695802,80.1106091425243
100062,34.058881946119854,80.40412924006606
100063,7.252623088587388,72.40737429672409
100064,22.96821000146096,68.51758830709493
100065,17.765931905454426,78.09036542408003
100066,34.36925105128078,97.21771923004803
100067,31.78110360388107,74.16062965983149
100068,14.057533955832735,72.15171068571517
100069,23.36318454738466,87.6922871335735
100070,23.444682409516247,75.35020468974218
100071,18.70855346992464,92.63614954502538
100072,34.198956936447246,69.35448465862682
100073,17.3829224941208,76.29648808800445
100074,25.142763272855262,83.4119988319062
100075,30.002246374290028,87.95935439005143
100076,28.307556423406776,82.04230457889163
100077,13.204210591777063,70.23665280922357
100078,23.387337149379903,86.37439432668818
100079,18.8624609744556,87.53051468981269
100080,32.13203821323052,94.29456054855547
100081,21.546378644097082,78.58555002082176
100082,25.50370028229191,72.93804222446443
100083,35.099701907508845,73.68784596681965
100084,10.944064130067215,93.0693484818297
100085,7.647329277530607,83.89589092996233
100086,11.480293036334153,74.99879477071488
100087,33.8234550995794,93.35131744762975
100088,20.817338265379433,88.81788314935231
100089,15.369586221738237,89.13913288255748
100090,12.643446795130219,71.7067613601606
100091,11.009871573537746,89.01571963191235
100092,17.896270465467452,90.01224374600633
100093,25.502234250493164,86.82990834046774
100094,19.560508214218984,80.05112460712535
100095,12.871126069609389,68.2903845625955
100096,31.466093392811622,94.63715030036272
100097,15.455411339632487,79.23641669438034
100098,20.470525829593726,71.46534627532404
100099,24.244122980245088,94.63419788263319
